% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.117214	1	2	1	3.36092e-11	70854.5	0
0.118214	1	1	2	3.37683e-11	71189.7	0
0.118214	1	2	1	3.36092e-11	70854.5	0
0.119214	1	1	2	3.37696e-11	71192.6	0
0.119214	1	2	1	3.36092e-11	70854.5	0
0.120214	1	1	2	3.3771e-11	71195.4	0
0.120214	1	2	1	3.36092e-11	70854.5	0
0.121214	1	1	2	3.37723e-11	71198.3	0
0.121214	1	2	1	3.36092e-11	70854.5	0
0.122214	1	1	2	3.37737e-11	71201.1	0
0.122214	1	2	1	3.36092e-11	70854.5	0
0.123214	1	1	2	3.3775e-11	71204	0
0.123214	1	2	1	3.36092e-11	70854.5	0
0.124214	1	1	2	3.37764e-11	71206.8	0
0.124214	1	2	1	3.36092e-11	70854.5	0
0.125214	1	1	2	3.37777e-11	71209.7	0
0.125214	1	2	1	3.36092e-11	70854.5	0
0.126214	1	1	2	3.37791e-11	71212.5	0
0.126214	1	2	1	3.36092e-11	70854.5	0
0.127214	1	1	2	3.37804e-11	71215.4	0
0.127214	1	2	1	3.36092e-11	70854.5	0
0.128214	1	1	2	3.37818e-11	71218.2	0
0.128214	1	2	1	3.36092e-11	70854.5	0
0.129214	1	1	2	3.37831e-11	71221.1	0
0.129214	1	2	1	3.36092e-11	70854.5	0
0.130214	1	1	2	3.37845e-11	71223.9	0
0.130214	1	2	1	3.36092e-11	70854.5	0
0.131214	1	1	2	3.37858e-11	71226.8	0
0.131214	1	2	1	3.36092e-11	70854.5	0
0.132214	1	1	2	3.37872e-11	71229.6	0
0.132214	1	2	1	3.36092e-11	70854.5	0
0.133214	1	1	2	3.37885e-11	71232.4	0
0.133214	1	2	1	3.36092e-11	70854.5	0
0.134214	1	1	2	3.37899e-11	71235.3	0
0.134214	1	2	1	3.36092e-11	70854.5	0
0.135214	1	1	2	3.37912e-11	71238.1	0
0.135214	1	2	1	3.36092e-11	70854.5	0
0.136214	1	1	2	3.37926e-11	71241	0
0.136214	1	2	1	3.36092e-11	70854.5	0
0.137214	1	1	2	3.37939e-11	71243.8	0
0.137214	1	2	1	3.36092e-11	70854.5	0
0.138214	1	1	2	3.37953e-11	71246.7	0
0.138214	1	2	1	3.36092e-11	70854.5	0
0.139214	1	1	2	3.37966e-11	71249.5	0
0.139214	1	2	1	3.36092e-11	70854.5	0
0.140214	1	1	2	3.3798e-11	71252.4	0
0.140214	1	2	1	3.36092e-11	70854.5	0
0.141214	1	1	2	3.37993e-11	71255.2	0
0.141214	1	2	1	3.36092e-11	70854.5	0
0.142214	1	1	2	3.38007e-11	71258.1	0
0.142214	1	2	1	3.36092e-11	70854.5	0
0.143214	1	1	2	3.3802e-11	71260.9	0
0.143214	1	2	1	3.36092e-11	70854.5	0
0.144214	1	1	2	3.38034e-11	71263.8	0
0.144214	1	2	1	3.36092e-11	70854.5	0
0.145214	1	1	2	3.38047e-11	71266.6	0
0.145214	1	2	1	3.36092e-11	70854.5	0
0.146214	1	1	2	3.38061e-11	71269.5	0
0.146214	1	2	1	3.36092e-11	70854.5	0
0.147214	1	1	2	3.38074e-11	71272.3	0
0.147214	1	2	1	3.36092e-11	70854.5	0
0.148214	1	1	2	3.38088e-11	71275.2	0
0.148214	1	2	1	3.36092e-11	70854.5	0
0.149214	1	1	2	3.38101e-11	71278.1	0
0.149214	1	2	1	3.36092e-11	70854.5	0
0.150214	1	1	2	3.38115e-11	71280.9	0
0.150214	1	2	1	3.36092e-11	70854.5	0
0.151214	1	1	2	3.38129e-11	71283.8	0
0.151214	1	2	1	3.36092e-11	70854.5	0
0.152214	1	1	2	3.38142e-11	71286.6	0
