% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.496	1	1	50	7	1	28	2292	0
0.497	1	1	50	8	1	6	325	0
0.497	3	2	50	8	1	28	2292	0
0.498	3	2	50	9	1	10	549	0
0.499	3	2	50	10	1	10	549	0
0.5	3	2	51	1	1	10	549	0
0.501	3	2	51	2	1	28	2292	0
0.502	1	1	51	3	1	28	2292	0
0.505	1	1	51	6	1	28	2292	0
0.506	1	1	51	7	1	28	2292	0
0.507	3	2	51	8	1	28	2292	0
0.508	3	2	51	9	1	28	2292	0
0.509	3	2	51	10	1	28	2292	0
0.512	1	1	52	3	1	28	2292	0
0.515	1	1	52	6	1	28	2292	0
0.516	1	1	52	7	1	28	2292	0
0.517	3	2	52	8	1	28	2292	0
0.518	3	2	52	9	1	28	2292	0
0.519	3	2	52	10	1	28	2292	0
0.522	1	1	53	3	1	28	2292	0
0.525	1	1	53	6	1	28	2292	0
0.526	1	1	53	7	1	28	2292	0
0.527	3	2	53	8	1	28	2292	0
0.528	3	2	53	9	1	28	2292	0
0.529	3	2	53	10	1	28	2292	0
0.532	1	1	54	3	1	28	2292	0
0.535	1	1	54	6	1	28	2292	0
0.536	1	1	54	7	1	28	2292	0
0.537	3	2	54	8	1	28	2292	0
0.538	3	2	54	9	1	28	2292	0
0.539	3	2	54	10	1	28	2292	0
0.542	1	1	55	3	1	28	2292	0
0.545	1	1	55	6	1	28	2292	0
0.546	1	1	55	7	1	28	2292	0
0.547	3	2	55	8	1	28	2292	0
0.548	3	2	55	9	1	28	2292	0
0.549	3	2	55	10	1	28	2292	0
0.552	1	1	56	3	1	28	2292	0
0.555	1	1	56	6	1	28	2292	0
0.556	1	1	56	7	1	28	2292	0
0.557	3	2	56	8	1	28	2292	0
0.558	3	2	56	9	1	28	2292	0
0.559	3	2	56	10	1	28	2292	0
0.562	1	1	57	3	1	28	2292	0
0.565	1	1	57	6	1	28	2292	0
0.566	1	1	57	7	1	28	2292	0
0.567	3	2	57	8	1	28	2292	0
0.568	3	2	57	9	1	28	2292	0
0.569	3	2	57	10	1	28	2292	0
0.572	1	1	58	3	1	28	2292	0
0.575	1	1	58	6	1	28	2292	0
0.576	1	1	58	7	1	28	2292	0
0.577	3	2	58	8	1	28	2292	0
0.578	3	2	58	9	1	28	2292	0
0.579	3	2	58	10	1	28	2292	0
0.582	1	1	59	3	1	28	2292	0
0.585	1	1	59	6	1	28	2292	0
0.586	1	1	59	7	1	28	2292	0
0.587	3	2	59	8	1	28	2292	0
0.588	3	2	59	9	1	28	2292	0
0.589	3	2	59	10	1	28	2292	0
0.592	1	1	60	3	1	28	2292	0
0.595	1	1	60	6	1	28	2292	0
0.596	1	1	60	7	1	28	2292	0
0.597	3	2	60	8	1	28	2292	0
0.598	3	2	60	9	1	28	2292	0
0.599	3	2	60	10	1	28	2292	0
0.602	1	1	61	3	1	28	2292	0
0.605	1	1	61	6	1	28	2292	0
0.606	1	1	61	7	1	28	2292	0
0.607	3	2	61	8	1	28	2292	0
0.608	3	2	61	9	1	28	2292	0
0.609	3	2	61	10	1	28	2292	0
0.612	1	1	62	3	1	28	2292	0
0.615	1	1	62	6	1	28	2292	0
0.616	1	1	62	7	1	28	2292	0
0.617	3	2	62	8	1	28	2292	0
0.618	3	2	62	9	1	28	2292	0
0.619	3	2	62	10	1	28	2292	0
0.622	1	1	63	3	1	28	2292	0
0.625	1	1	63	6	1	28	2292	0
0.626	1	1	63	7	1	28	2292	0
0.627	3	2	63	8	1	28	2292	0
0.628	3	2	63	9	1	28	2292	0
0.629	3	2	63	10	1	28	2292	0
0.632	1	1	64	3	1	28	2292	0
0.635	1	1	64	6	1	28	2292	0
0.636	1	1	64	7	1	28	2292	0
0.637	3	2	64	8	1	28	2292	0
0.638	3	2	64	9	1	28	2292	0
0.639	3	2	64	10	1	28	2292	0
0.642	1	1	65	3	1	28	2292	0
0.645	1	1	65	6	1	28	2292	0
0.646	1	1	65	7	1	28	2292	0
0.647	3	2	65	8	1	28	2292	0
0.648	3	2	65	9	1	28	2292	0
0.649	3	2	65	10	1	28	2292	0
0.652	1	1	66	3	1	28	2292	0
0.655	1	1	66	6	1	28	2292	0
0.656	1	1	66	7	1	28	2292	0
0.657	3	2	66	8	1	28	2292	0
0.658	3	2	66	9	1	28	2292	0
0.659	3	2	66	10	1	28	2292	0
0.662	1	1	67	3	1	28	2292	0
0.665	1	1	67	6	1	28	2292	0
0.666	1	1	67	7	1	28	2292	0
0.667	3	2	67	8	1	28	2292	0
0.668	3	2	67	9	1	28	2292	0
0.669	3	2	67	10	1	28	2292	0
0.672	1	1	68	3	1	28	2292	0
0.675	1	1	68	6	1	28	2292	0
0.676	1	1	68	7	1	28	2292	0
0.677	3	2	68	8	1	28	2292	0
0.678	3	2	68	9	1	28	2292	0
0.679	3	2	68	10	1	28	2292	0
0.682	1	1	69	3	1	28	2292	0
0.685	1	1	69	6	1	28	2292	0
0.686	1	1	69	7	1	28	2292	0
0.687	3	2	69	8	1	28	2292	0
0.688	3	2	69	9	1	28	2292	0
0.689	3	2	69	10	1	28	2292	0
0.692	1	1	70	3	1	28	2292	0
0.695	1	1	70	6	1	28	2292	0
0.696	1	1	70	7	1	28	2292	0
0.697	3	2	70	8	1	28	2292	0
0.698	3	2	70	9	1	28	2292	0
0.699	3	2	70	10	1	28	2292	0
0.702	1	1	71	3	1	28	2292	0
0.705	1	1	71	6	1	28	2292	0
0.706	1	1	71	7	1	28	2292	0
0.707	3	2	71	8	1	28	2292	0
0.708	3	2	71	9	1	28	2292	0
0.709	3	2	71	10	1	28	2292	0
0.712	1	1	72	3	1	28	2292	0
0.715	1	1	72	6	1	28	2292	0
0.716	1	1	72	7	1	28	2292	0
0.717	3	2	72	8	1	28	2292	0
0.718	3	2	72	9	1	28	2292	0
0.719	3	2	72	10	1	28	2292	0
0.722	1	1	73	3	1	28	2292	0
0.725	1	1	73	6	1	28	2292	0
0.726	1	1	73	7	1	28	2292	0
0.727	3	2	73	8	1	28	2292	0
0.728	3	2	73	9	1	28	2292	0
0.729	3	2	73	10	1	28	2292	0
0.732	1	1	74	3	1	28	2292	0
0.735	1	1	74	6	1	28	2292	0
0.736	1	1	74	7	1	28	2292	0
0.737	3	2	74	8	1	28	2292	0
0.738	3	2	74	9	1	28	2292	0
0.739	3	2	74	10	1	28	2292	0
0.742	1	1	75	3	1	28	2292	0
0.745	1	1	75	6	1	28	2292	0
0.746	1	1	75	7	1	28	2292	0
0.747	3	2	75	8	1	28	2292	0
0.748	3	2	75	9	1	28	2292	0
0.749	3	2	75	10	1	28	2292	0
0.752	1	1	76	3	1	28	2292	0
0.755	1	1	76	6	1	28	2292	0
0.756	1	1	76	7	1	28	2292	0
0.757	3	2	76	8	1	28	2292	0
0.758	3	2	76	9	1	28	2292	0
0.759	3	2	76	10	1	28	2292	0
0.762	1	1	77	3	1	28	2292	0
0.765	1	1	77	6	1	28	2292	0
0.766	1	1	77	7	1	28	2292	0
0.767	3	2	77	8	1	28	2292	0
0.768	3	2	77	9	1	28	2292	0
0.769	3	2	77	10	1	28	2292	0
0.772	1	1	78	3	1	28	2292	0
0.775	1	1	78	6	1	28	2292	0
0.776	1	1	78	7	1	28	2292	0
0.777	3	2	78	8	1	28	2292	0
0.778	3	2	78	9	1	28	2292	0
0.779	3	2	78	10	1	28	2292	0
0.782	1	1	79	3	1	28	2292	0
0.785	1	1	79	6	1	28	2292	0
0.786	1	1	79	7	1	28	2292	0
0.787	3	2	79	8	1	28	2292	0
0.788	3	2	79	9	1	28	2292	0
0.789	3	2	79	10	1	28	2292	0
0.792	1	1	80	3	1	28	2292	0
0.795	1	1	80	6	1	28	2292	0
0.796	1	1	80	7	1	28	2292	0
0.797	3	2	80	8	1	28	2292	0
0.798	3	2	80	9	1	28	2292	0
0.799	3	2	80	10	1	28	2292	0
0.802	1	1	81	3	1	28	2292	0
0.805	1	1	81	6	1	28	2292	0
0.806	1	1	81	7	1	28	2292	0
0.807	3	2	81	8	1	28	2292	0
0.808	3	2	81	9	1	28	2292	0
0.809	3	2	81	10	1	28	2292	0
0.812	1	1	82	3	1	28	2292	0
0.815	1	1	82	6	1	28	2292	0
0.816	1	1	82	7	1	28	2292	0
0.817	3	2	82	8	1	28	2292	0
0.818	3	2	82	9	1	28	2292	0
0.819	3	2	82	10	1	28	2292	0
0.822	1	1	83	3	1	28	2292	0
0.825	1	1	83	6	1	28	2292	0
0.826	1	1	83	7	1	28	2292	0
0.827	3	2	83	8	1	28	2292	0
0.828	3	2	83	9	1	28	2292	0
0.829	3	2	83	10	1	28	2292	0
0.832	1	1	84	3	1	28	2292	0
0.835	1	1	84	6	1	28	2292	0
0.836	1	1	84	7	1	28	2292	0
0.837	3	2	84	8	1	28	2292	0
0.838	3	2	84	9	1	28	2292	0
0.839	3	2	84	10	1	28	2292	0
0.842	1	1	85	3	1	28	2292	0
0.845	1	1	85	6	1	28	2292	0
0.846	1	1	85	7	1	28	2292	0
0.847	3	2	85	8	1	28	2292	0
0.848	3	2	85	9	1	28	2292	0
0.849	3	2	85	10	1	28	2292	0
0.852	1	1	86	3	1	28	2292	0
