% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
8598	1	1	1	0	28	2292	0	1	0
8601	1	1	1	0	28	2292	0	1	0
8602	1	1	1	0	28	2292	0	1	0
8603	3	2	1	0	28	2292	0	1	0
8604	3	2	1	0	28	2292	0	1	0
8605	3	2	1	0	28	2292	0	1	0
8608	1	1	1	0	28	2292	0	1	0
8611	1	1	1	0	28	2292	0	1	0
8612	1	1	1	0	28	2292	0	1	0
8613	3	2	1	0	28	2292	0	1	0
8614	3	2	1	0	28	2292	0	1	0
8615	3	2	1	0	28	2292	0	1	0
8618	1	1	1	0	28	2292	0	1	0
8621	1	1	1	0	28	2292	0	1	0
8622	1	1	1	0	28	2292	0	1	0
8623	3	2	1	0	28	2292	0	1	0
8624	3	2	1	0	28	2292	0	1	0
8625	3	2	1	0	28	2292	0	1	0
8628	1	1	1	0	28	2292	0	1	0
8631	1	1	1	0	28	2292	0	1	0
8632	1	1	1	0	28	2292	0	1	0
8633	3	2	1	0	28	2292	0	1	0
8634	3	2	1	0	28	2292	0	1	0
8635	3	2	1	0	28	2292	0	1	0
8638	1	1	1	0	28	2292	0	1	0
8641	1	1	1	0	28	2292	0	1	0
8642	1	1	1	0	28	2292	0	1	0
8643	3	2	1	0	28	2292	0	1	0
8644	3	2	1	0	28	2292	0	1	0
8645	3	2	1	0	28	2292	0	1	0
8648	1	1	1	0	28	2292	0	1	0
8651	1	1	1	0	28	2292	0	1	0
8652	1	1	1	0	28	2292	0	1	0
8653	3	2	1	0	28	2292	0	1	0
8654	3	2	1	0	28	2292	0	1	0
8655	3	2	1	0	28	2292	0	1	0
8658	1	1	1	0	28	2292	0	1	0
8661	1	1	1	0	28	2292	0	1	0
8662	1	1	1	0	28	2292	0	1	0
8663	3	2	1	0	28	2292	0	1	0
8664	3	2	1	0	28	2292	0	1	0
8665	3	2	1	0	28	2292	0	1	0
8668	1	1	1	0	28	2292	0	1	0
8671	1	1	1	0	28	2292	0	1	0
8672	1	1	1	0	28	2292	0	1	0
8673	3	2	1	0	28	2292	0	1	0
8674	3	2	1	0	28	2292	0	1	0
8675	3	2	1	0	28	2292	0	1	0
8678	1	1	1	0	28	2292	0	1	0
8681	1	1	1	0	28	2292	0	1	0
8682	1	1	1	0	28	2292	0	1	0
8683	3	2	1	0	28	2292	0	1	0
8684	3	2	1	0	28	2292	0	1	0
8685	3	2	1	0	28	2292	0	1	0
8688	1	1	1	0	28	2292	0	1	0
8691	1	1	1	0	28	2292	0	1	0
8692	1	1	1	0	28	2292	0	1	0
8693	3	2	1	0	28	2292	0	1	0
8694	3	2	1	0	28	2292	0	1	0
8695	3	2	1	0	28	2292	0	1	0
8698	1	1	1	0	28	2292	0	1	0
8701	1	1	1	0	28	2292	0	1	0
8702	1	1	1	0	28	2292	0	1	0
8703	3	2	1	0	28	2292	0	1	0
8704	3	2	1	0	28	2292	0	1	0
8705	3	2	1	0	28	2292	0	1	0
8708	1	1	1	0	28	2292	0	1	0
8711	1	1	1	0	28	2292	0	1	0
8712	1	1	1	0	28	2292	0	1	0
8713	3	2	1	0	28	2292	0	1	0
8714	3	2	1	0	28	2292	0	1	0
8715	3	2	1	0	28	2292	0	1	0
8718	1	1	1	0	28	2292	0	1	0
8721	1	1	1	0	28	2292	0	1	0
8722	1	1	1	0	28	2292	0	1	0
8723	3	2	1	0	28	2292	0	1	0
8724	3	2	1	0	28	2292	0	1	0
8725	3	2	1	0	28	2292	0	1	0
8728	1	1	1	0	28	2292	0	1	0
8731	1	1	1	0	28	2292	0	1	0
8732	1	1	1	0	28	2292	0	1	0
8733	3	2	1	0	28	2292	0	1	0
8734	3	2	1	0	28	2292	0	1	0
8735	3	2	1	0	28	2292	0	1	0
8738	1	1	1	0	28	2292	0	1	0
8741	1	1	1	0	28	2292	0	1	0
8742	1	1	1	0	28	2292	0	1	0
8743	3	2	1	0	28	2292	0	1	0
8744	3	2	1	0	28	2292	0	1	0
8745	3	2	1	0	28	2292	0	1	0
8748	1	1	1	0	28	2292	0	1	0
8751	1	1	1	0	28	2292	0	1	0
8752	1	1	1	0	28	2292	0	1	0
8753	3	2	1	0	28	2292	0	1	0
8754	3	2	1	0	28	2292	0	1	0
8755	3	2	1	0	28	2292	0	1	0
8758	1	1	1	0	28	2292	0	1	0
8761	1	1	1	0	28	2292	0	1	0
8762	1	1	1	0	28	2292	0	1	0
8763	3	2	1	0	28	2292	0	1	0
8764	3	2	1	0	28	2292	0	1	0
8765	3	2	1	0	28	2292	0	1	0
8768	1	1	1	0	28	2292	0	1	0
8771	1	1	1	0	28	2292	0	1	0
8772	1	1	1	0	28	2292	0	1	0
8773	3	2	1	0	28	2292	0	1	0
8774	3	2	1	0	28	2292	0	1	0
8775	3	2	1	0	28	2292	0	1	0
8778	1	1	1	0	28	2292	0	1	0
8781	1	1	1	0	28	2292	0	1	0
8782	1	1	1	0	28	2292	0	1	0
8783	3	2	1	0	28	2292	0	1	0
8784	3	2	1	0	28	2292	0	1	0
8785	3	2	1	0	28	2292	0	1	0
8788	1	1	1	0	28	2292	0	1	0
8791	1	1	1	0	28	2292	0	1	0
8792	1	1	1	0	28	2292	0	1	0
8793	3	2	1	0	28	2292	0	1	0
8794	3	2	1	0	28	2292	0	1	0
8795	3	2	1	0	28	2292	0	1	0
8798	1	1	1	0	28	2292	0	1	0
8801	1	1	1	0	28	2292	0	1	0
8802	1	1	1	0	28	2292	0	1	0
8803	3	2	1	0	28	2292	0	1	0
8804	3	2	1	0	28	2292	0	1	0
8805	3	2	1	0	28	2292	0	1	0
8808	1	1	1	0	28	2292	0	1	0
8811	1	1	1	0	28	2292	0	1	0
8812	1	1	1	0	28	2292	0	1	0
8813	3	2	1	0	28	2292	0	1	0
8814	3	2	1	0	28	2292	0	1	0
8815	3	2	1	0	28	2292	0	1	0
8818	1	1	1	0	28	2292	0	1	0
8821	1	1	1	0	28	2292	0	1	0
8822	1	1	1	0	28	2292	0	1	0
8823	3	2	1	0	28	2292	0	1	0
8824	3	2	1	0	28	2292	0	1	0
8825	3	2	1	0	28	2292	0	1	0
8828	1	1	1	0	28	2292	0	1	0
8831	1	1	1	0	28	2292	0	1	0
8832	1	1	1	0	28	2292	0	1	0
8833	3	2	1	0	28	2292	0	1	0
8834	3	2	1	0	28	2292	0	1	0
8835	3	2	1	0	28	2292	0	1	0
8838	1	1	1	0	28	2292	0	1	0
8841	1	1	1	0	28	2292	0	1	0
8842	1	1	1	0	28	2292	0	1	0
8843	3	2	1	0	28	2292	0	1	0
8844	3	2	1	0	28	2292	0	1	0
8845	3	2	1	0	28	2292	0	1	0
8848	1	1	1	0	28	2292	0	1	0
8851	1	1	1	0	28	2292	0	1	0
8852	1	1	1	0	28	2292	0	1	0
8853	3	2	1	0	28	2292	0	1	0
8854	3	2	1	0	28	2292	0	1	0
8855	3	2	1	0	28	2292	0	1	0
8858	1	1	1	0	28	2292	0	1	0
8861	1	1	1	0	28	2292	0	1	0
8862	1	1	1	0	28	2292	0	1	0
8863	3	2	1	0	28	2292	0	1	0
8864	3	2	1	0	28	2292	0	1	0
8865	3	2	1	0	28	2292	0	1	0
8868	1	1	1	0	28	2292	0	1	0
8871	1	1	1	0	28	2292	0	1	0
8872	1	1	1	0	28	2292	0	1	0
8873	3	2	1	0	28	2292	0	1	0
8874	3	2	1	0	28	2292	0	1	0
8875	3	2	1	0	28	2292	0	1	0
8878	1	1	1	0	28	2292	0	1	0
8881	1	1	1	0	28	2292	0	1	0
8882	1	1	1	0	28	2292	0	1	0
8883	3	2	1	0	28	2292	0	1	0
8884	3	2	1	0	28	2292	0	1	0
8885	3	2	1	0	28	2292	0	1	0
8888	1	1	1	0	28	2292	0	1	0
8891	1	1	1	0	28	2292	0	1	0
8892	1	1	1	0	28	2292	0	1	0
8893	3	2	1	0	28	2292	0	1	0
8894	3	2	1	0	28	2292	0	1	0
8895	3	2	1	0	28	2292	0	1	0
8898	1	1	1	0	28	2292	0	1	0
8901	1	1	1	0	28	2292	0	1	0
8902	1	1	1	0	28	2292	0	1	0
