% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
1996	1	1	1	0	28	2292	0	1	1	0
2006	1	1	1	0	28	2292	0	1	1	0
2016	1	1	1	0	28	2292	0	1	1	0
2026	1	1	1	0	28	2292	0	1	1	0
2036	1	1	1	0	28	2292	0	1	1	0
2046	1	1	1	0	28	2292	0	1	1	0
2056	1	1	1	0	28	2292	0	1	1	0
2066	1	1	1	0	28	2292	0	1	1	0
2076	1	1	1	0	28	2292	0	1	1	0
2086	1	1	1	0	28	2292	0	1	1	0
2096	1	1	1	0	28	2292	0	1	1	0
2106	1	1	1	0	28	2292	0	1	1	0
2116	1	1	1	0	28	2292	0	1	1	0
2126	1	1	1	0	28	2292	0	1	1	0
2136	1	1	1	0	28	2292	0	1	1	0
2146	1	1	1	0	28	2292	0	1	1	0
2156	1	1	1	0	28	2292	0	1	1	0
2166	1	1	1	0	28	2292	0	1	1	0
2176	1	1	1	0	28	2292	0	1	1	0
2186	1	1	1	0	28	2292	0	1	1	0
2196	1	1	1	0	28	2292	0	1	1	0
2206	1	1	1	0	28	2292	0	1	1	0
2216	1	1	1	0	28	2292	0	1	1	0
2226	1	1	1	0	28	2292	0	1	1	0
2236	1	1	1	0	28	2292	0	1	1	0
2246	1	1	1	0	28	2292	0	1	1	0
2256	1	1	1	0	28	2292	0	1	1	0
2266	1	1	1	0	28	2292	0	1	1	0
2276	1	1	1	0	28	2292	0	1	1	0
2286	1	1	1	0	28	2292	0	1	1	0
2296	1	1	1	0	28	2292	0	1	1	0
2306	1	1	1	0	28	2292	0	1	1	0
2316	1	1	1	0	28	2292	0	1	1	0
2326	1	1	1	0	28	2292	0	1	1	0
2336	1	1	1	0	28	2292	0	1	1	0
2346	1	1	1	0	28	2292	0	1	1	0
2356	1	1	1	0	28	2292	0	1	1	0
2366	1	1	1	0	28	2292	0	1	1	0
2376	1	1	1	0	28	2292	0	1	1	0
2386	1	1	1	0	28	2292	0	1	1	0
2396	1	1	1	0	28	2292	0	1	1	0
2406	1	1	1	0	28	2292	0	1	1	0
2416	1	1	1	0	28	2292	0	1	1	0
2426	1	1	1	0	28	2292	0	1	1	0
2436	1	1	1	0	28	2292	0	1	1	0
2446	1	1	1	0	28	2292	0	1	1	0
2456	1	1	1	0	28	2292	0	1	1	0
2466	1	1	1	0	28	2292	0	1	1	0
2476	1	1	1	0	28	2292	0	1	1	0
2486	1	1	1	0	28	2292	0	1	1	0
2496	1	1	1	0	28	2292	0	1	1	0
2506	1	1	1	0	28	2292	0	1	1	0
2516	1	1	1	0	28	2292	0	1	1	0
2526	1	1	1	0	28	2292	0	1	1	0
2536	1	1	1	0	28	2292	0	1	1	0
2546	1	1	1	0	28	2292	0	1	1	0
2556	1	1	1	0	28	2292	0	1	1	0
2566	1	1	1	0	28	2292	0	1	1	0
2576	1	1	1	0	28	2292	0	1	1	0
2586	1	1	1	0	28	2292	0	1	1	0
2596	1	1	1	0	28	2292	0	1	1	0
2606	1	1	1	0	28	2292	0	1	1	0
2616	1	1	1	0	28	2292	0	1	1	0
2626	1	1	1	0	28	2292	0	1	1	0
2636	1	1	1	0	28	2292	0	1	1	0
2646	1	1	1	0	28	2292	0	1	1	0
2656	1	1	1	0	28	2292	0	1	1	0
2666	1	1	1	0	28	2292	0	1	1	0
2676	1	1	1	0	28	2292	0	1	1	0
2686	1	1	1	0	28	2292	0	1	1	0
2696	1	1	1	0	28	2292	0	1	1	0
2706	1	1	1	0	28	2292	0	1	1	0
2716	1	1	1	0	28	2292	0	1	1	0
2726	1	1	1	0	28	2292	0	1	1	0
2736	1	1	1	0	28	2292	0	1	1	0
2746	1	1	1	0	28	2292	0	1	1	0
2756	1	1	1	0	28	2292	0	1	1	0
2766	1	1	1	0	28	2292	0	1	1	0
2776	1	1	1	0	28	2292	0	1	1	0
2786	1	1	1	0	28	2292	0	1	1	0
2796	1	1	1	0	28	2292	0	1	1	0
2806	1	1	1	0	28	2292	0	1	1	0
2816	1	1	1	0	28	2292	0	1	1	0
2826	1	1	1	0	28	2292	0	1	1	0
2836	1	1	1	0	28	2292	0	1	1	0
2846	1	1	1	0	28	2292	0	1	1	0
2856	1	1	1	0	28	2292	0	1	1	0
2866	1	1	1	0	28	2292	0	1	1	0
2876	1	1	1	0	28	2292	0	1	1	0
2886	1	1	1	0	28	2292	0	1	1	0
2896	1	1	1	0	28	2292	0	1	1	0
2906	1	1	1	0	28	2292	0	1	1	0
2916	1	1	1	0	28	2292	0	1	1	0
2926	1	1	1	0	28	2292	0	1	1	0
2936	1	1	1	0	28	2292	0	1	1	0
2946	1	1	1	0	28	2292	0	1	1	0
2956	1	1	1	0	28	2292	0	1	1	0
2966	1	1	1	0	28	2292	0	1	1	0
2976	1	1	1	0	28	2292	0	1	1	0
2986	1	1	1	0	28	2292	0	1	1	0
2996	1	1	1	0	28	2292	0	1	1	0
3006	1	1	1	0	28	2292	0	1	1	0
3016	1	1	1	0	28	2292	0	1	1	0
3028	1	1	1	0	28	2292	0	1	1	0
3036	1	1	1	0	28	2292	0	1	1	0
3046	1	1	1	0	28	2292	0	1	1	0
3056	1	1	1	0	28	2292	0	1	1	0
3066	1	1	1	0	28	2292	0	1	1	0
3076	1	1	1	0	28	2292	0	1	1	0
3086	1	1	1	0	28	2292	0	1	1	0
3096	1	1	1	0	28	2292	0	1	1	0
3106	1	1	1	0	28	2292	0	1	1	0
3116	1	1	1	0	28	2292	0	1	1	0
3126	1	1	1	0	28	2292	0	1	1	0
3136	1	1	1	0	28	2292	0	1	1	0
3146	1	1	1	0	28	2292	0	1	1	0
3156	1	1	1	0	28	2292	0	1	1	0
3166	1	1	1	0	28	2292	0	1	1	0
3176	1	1	1	0	28	2292	0	1	1	0
3186	1	1	1	0	28	2292	0	1	1	0
3196	1	1	1	0	28	2292	0	1	1	0
3206	1	1	1	0	28	2292	0	1	1	0
3216	1	1	1	0	28	2292	0	1	1	0
3226	1	1	1	0	28	2292	0	1	1	0
3236	1	1	1	0	28	2292	0	1	1	0
3246	1	1	1	0	28	2292	0	1	1	0
3256	1	1	1	0	28	2292	0	1	1	0
3266	1	1	1	0	28	2292	0	1	1	0
3276	1	1	1	0	28	2292	0	1	1	0
3286	1	1	1	0	28	2292	0	1	1	0
3296	1	1	1	0	28	2292	0	1	1	0
3306	1	1	1	0	28	2292	0	1	1	0
3316	1	1	1	0	28	2292	0	1	1	0
3326	1	1	1	0	28	2292	0	1	1	0
3336	1	1	1	0	28	2292	0	1	1	0
3346	1	1	1	0	28	2292	0	1	1	0
3356	1	1	1	0	28	2292	0	1	1	0
3366	1	1	1	0	28	2292	0	1	1	0
3376	1	1	1	0	28	2292	0	1	1	0
3386	1	1	1	0	28	2292	0	1	1	0
3396	1	1	1	0	28	2292	0	1	1	0
3406	1	1	1	0	28	2292	0	1	1	0
3416	1	1	1	0	28	2292	0	1	1	0
3426	1	1	1	0	28	2292	0	1	1	0
3436	1	1	1	0	28	2292	0	1	1	0
3446	1	1	1	0	28	2292	0	1	1	0
