% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
1639	1	1	1	0	28	2196	0	1	0
1647	1	1	1	0	28	2196	0	1	0
1649	1	1	1	0	28	2196	0	1	0
1657	1	1	1	0	28	2196	0	1	0
1659	1	1	1	0	28	2196	0	1	0
1667	1	1	1	0	28	2196	0	1	0
1669	1	1	1	0	28	2196	0	1	0
1677	1	1	1	0	28	2196	0	1	0
1679	1	1	1	0	28	2196	0	1	0
1687	1	1	1	0	28	2196	0	1	0
1689	1	1	1	0	28	2196	0	1	0
1697	1	1	1	0	28	2196	0	1	0
1699	1	1	1	0	28	2196	0	1	0
1707	1	1	1	0	28	2196	0	1	0
1709	1	1	1	0	28	2196	0	1	0
1717	1	1	1	0	28	2196	0	1	0
1719	1	1	1	0	28	2196	0	1	0
1727	1	1	1	0	28	2196	0	1	0
1729	1	1	1	0	28	2196	0	1	0
1737	1	1	1	0	28	2196	0	1	0
1739	1	1	1	0	28	2196	0	1	0
1747	1	1	1	0	28	2196	0	1	0
1749	1	1	1	0	28	2196	0	1	0
1757	1	1	1	0	28	2196	0	1	0
1759	1	1	1	0	28	2196	0	1	0
1767	1	1	1	0	28	2196	0	1	0
1769	1	1	1	0	28	2196	0	1	0
1777	1	1	1	0	28	2196	0	1	0
1779	1	1	1	0	28	2196	0	1	0
1787	1	1	1	0	28	2196	0	1	0
1789	1	1	1	0	28	2196	0	1	0
1797	1	1	1	0	28	2196	0	1	0
1799	1	1	1	0	28	2196	0	1	0
1807	1	1	1	0	28	2196	0	1	0
1809	1	1	1	0	28	2196	0	1	0
1817	1	1	1	0	28	2196	0	1	0
1819	1	1	1	0	28	2196	0	1	0
1827	1	1	1	0	28	2196	0	1	0
1829	1	1	1	0	28	2196	0	1	0
1837	1	1	1	0	28	2196	0	1	0
1839	1	1	1	0	28	2196	0	1	0
1847	1	1	1	0	28	2196	0	1	0
1849	1	1	1	0	28	2196	0	1	0
1857	1	1	1	0	28	2196	0	1	0
1859	1	1	1	0	28	2196	0	1	0
1867	1	1	1	0	28	2196	0	1	0
1869	1	1	1	0	28	2196	0	1	0
1877	1	1	1	0	28	2196	0	1	0
1879	1	1	1	0	28	2196	0	1	0
1887	1	1	1	0	28	2196	0	1	0
1889	1	1	1	0	28	2196	0	1	0
1897	1	1	1	0	28	2196	0	1	0
1899	1	1	1	0	28	2196	0	1	0
1907	1	1	1	0	28	2196	0	1	0
1909	1	1	1	0	28	2196	0	1	0
1917	1	1	1	0	28	2196	0	1	0
1919	1	1	1	0	28	2196	0	1	0
1927	1	1	1	0	28	2196	0	1	0
1929	1	1	1	0	28	2196	0	1	0
1937	1	1	1	0	28	2196	0	1	0
1939	1	1	1	0	28	2196	0	1	0
1947	1	1	1	0	28	2196	0	1	0
1949	1	1	1	0	28	2196	0	1	0
1957	1	1	1	0	28	2196	0	1	0
1959	1	1	1	0	28	2196	0	1	0
1967	1	1	1	0	28	2196	0	1	0
1969	1	1	1	0	28	2196	0	1	0
1977	1	1	1	0	28	2196	0	1	0
1979	1	1	1	0	28	2196	0	1	0
1987	1	1	1	0	28	2196	0	1	0
1989	1	1	1	0	28	2196	0	1	0
1997	1	1	1	0	28	2196	0	1	0
1999	1	1	1	0	28	2196	0	1	0
2007	1	1	1	0	28	2196	0	1	0
2009	1	1	1	0	28	2196	0	1	0
2017	1	1	1	0	28	2196	0	1	0
2019	1	1	1	0	28	2196	0	1	0
2027	1	1	1	0	28	2196	0	1	0
2029	1	1	1	0	28	2196	0	1	0
2037	1	1	1	0	28	2196	0	1	0
2039	1	1	1	0	28	2196	0	1	0
2047	1	1	1	0	28	2196	0	1	0
2049	1	1	1	0	28	2196	0	1	0
2057	1	1	1	0	28	2196	0	1	0
2059	1	1	1	0	28	2196	0	1	0
2067	1	1	1	0	28	2196	0	1	0
2069	1	1	1	0	28	2196	0	1	0
2077	1	1	1	0	28	2196	0	1	0
2079	1	1	1	0	28	2196	0	1	0
2087	1	1	1	0	28	2196	0	1	0
2089	1	1	1	0	28	2196	0	1	0
2097	1	1	1	0	28	2196	0	1	0
2099	1	1	1	0	28	2196	0	1	0
2107	1	1	1	0	28	2196	0	1	0
2109	1	1	1	0	28	2196	0	1	0
2117	1	1	1	0	28	2196	0	1	0
2119	1	1	1	0	28	2196	0	1	0
2127	1	1	1	0	28	2196	0	1	0
2129	1	1	1	0	28	2196	0	1	0
2137	1	1	1	0	28	2196	0	1	0
2139	1	1	1	0	28	2196	0	1	0
2147	1	1	1	0	28	2196	0	1	0
2149	1	1	1	0	28	2196	0	1	0
2157	1	1	1	0	28	2196	0	1	0
2159	1	1	1	0	28	2196	0	1	0
2167	1	1	1	0	28	2196	0	1	0
2169	1	1	1	0	28	2196	0	1	0
2177	1	1	1	0	28	2196	0	1	0
2179	1	1	1	0	28	2196	0	1	0
2187	1	1	1	0	28	2196	0	1	0
2189	1	1	1	0	28	2196	0	1	0
2197	1	1	1	0	28	2196	0	1	0
2199	1	1	1	0	28	2196	0	1	0
2207	1	1	1	0	28	2196	0	1	0
2209	1	1	1	0	28	2196	0	1	0
2217	1	1	1	0	28	2196	0	1	0
2219	1	1	1	0	28	2196	0	1	0
2227	1	1	1	0	28	2196	0	1	0
2229	1	1	1	0	28	2196	0	1	0
2237	1	1	1	0	28	2196	0	1	0
2239	1	1	1	0	28	2196	0	1	0
2247	1	1	1	0	28	2196	0	1	0
2249	1	1	1	0	28	2196	0	1	0
2257	1	1	1	0	28	2196	0	1	0
2259	1	1	1	0	28	2196	0	1	0
2267	1	1	1	0	28	2196	0	1	0
2269	1	1	1	0	28	2196	0	1	0
2277	1	1	1	0	28	2196	0	1	0
2279	1	1	1	0	28	2196	0	1	0
2287	1	1	1	0	28	2196	0	1	0
2289	1	1	1	0	28	2196	0	1	0
2297	1	1	1	0	28	2196	0	1	0
2299	1	1	1	0	28	2196	0	1	0
2307	1	1	1	0	28	2196	0	1	0
2309	1	1	1	0	28	2196	0	1	0
2317	1	1	1	0	28	2196	0	1	0
2319	1	1	1	0	28	2196	0	1	0
2327	1	1	1	0	28	2196	0	1	0
2329	1	1	1	0	28	2196	0	1	0
2337	1	1	1	0	28	2196	0	1	0
2339	1	1	1	0	28	2196	0	1	0
2347	1	1	1	0	28	2196	0	1	0
2349	1	1	1	0	28	2196	0	1	0
2357	1	1	1	0	28	2196	0	1	0
2359	1	1	1	0	28	2196	0	1	0
2367	1	1	1	0	28	2196	0	1	0
2369	1	1	1	0	28	2196	0	1	0
2377	1	1	1	0	28	2196	0	1	0
2379	1	1	1	0	28	2196	0	1	0
2387	1	1	1	0	28	2196	0	1	0
2389	1	1	1	0	28	2196	0	1	0
2397	1	1	1	0	28	2196	0	1	0
2399	1	1	1	0	28	2196	0	1	0
2407	1	1	1	0	28	2196	0	1	0
2409	1	1	1	0	28	2196	0	1	0
2417	1	1	1	0	28	2196	0	1	0
2419	1	1	1	0	28	2196	0	1	0
2427	1	1	1	0	28	2196	0	1	0
2429	1	1	1	0	28	2196	0	1	0
2437	1	1	1	0	28	2196	0	1	0
2439	1	1	1	0	28	2196	0	1	0
2447	1	1	1	0	28	2196	0	1	0
2449	1	1	1	0	28	2196	0	1	0
2457	1	1	1	0	28	2196	0	1	0
2459	1	1	1	0	28	2196	0	1	0
2467	1	1	1	0	28	2196	0	1	0
2469	1	1	1	0	28	2196	0	1	0
2477	1	1	1	0	28	2196	0	1	0
2479	1	1	1	0	28	2196	0	1	0
2487	1	1	1	0	28	2196	0	1	0
2489	1	1	1	0	28	2196	0	1	0
2497	1	1	1	0	28	2196	0	1	0
2499	1	1	1	0	28	2196	0	1	0
2507	1	1	1	0	28	2196	0	1	0
2509	1	1	1	0	28	2196	0	1	0
2517	1	1	1	0	28	2196	0	1	0
2519	1	1	1	0	28	2196	0	1	0
2527	1	1	1	0	28	2196	0	1	0
2529	1	1	1	0	28	2196	0	1	0
2537	1	1	1	0	28	2196	0	1	0
2539	1	1	1	0	28	2196	0	1	0
2547	1	1	1	0	28	2196	0	1	0
2549	1	1	1	0	28	2196	0	1	0
2557	1	1	1	0	28	2196	0	1	0
2559	1	1	1	0	28	2196	0	1	0
2567	1	1	1	0	28	2196	0	1	0
2569	1	1	1	0	28	2196	0	1	0
2577	1	1	1	0	28	2196	0	1	0
2579	1	1	1	0	28	2196	0	1	0
2587	1	1	1	0	28	2196	0	1	0
2589	1	1	1	0	28	2196	0	1	0
2597	1	1	1	0	28	2196	0	1	0
2599	1	1	1	0	28	2196	0	1	0
2607	1	1	1	0	28	2196	0	1	0
2609	1	1	1	0	28	2196	0	1	0
2617	1	1	1	0	28	2196	0	1	0
2619	1	1	1	0	28	2196	0	1	0
2627	1	1	1	0	28	2196	0	1	0
2629	1	1	1	0	28	2196	0	1	0
2637	1	1	1	0	28	2196	0	1	0
2639	1	1	1	0	28	2196	0	1	0
2647	1	1	1	0	28	2196	0	1	0
2649	1	1	1	0	28	2196	0	1	0
2657	1	1	1	0	28	2196	0	1	0
2659	1	1	1	0	28	2196	0	1	0
2667	1	1	1	0	28	2196	0	1	0
2669	1	1	1	0	28	2196	0	1	0
2677	1	1	1	0	28	2196	0	1	0
2679	1	1	1	0	28	2196	0	1	0
2687	1	1	1	0	28	2196	0	1	0
2689	1	1	1	0	28	2196	0	1	0
2697	1	1	1	0	28	2196	0	1	0
2699	1	1	1	0	28	2196	0	1	0
2707	1	1	1	0	28	2196	0	1	0
2709	1	1	1	0	28	2196	0	1	0
2717	1	1	1	0	28	2196	0	1	0
2719	1	1	1	0	28	2196	0	1	0
2727	1	1	1	0	28	2196	0	1	0
2729	1	1	1	0	28	2196	0	1	0
2737	1	1	1	0	28	2196	0	1	0
2739	1	1	1	0	28	2196	0	1	0
2747	1	1	1	0	28	2196	0	1	0
2749	1	1	1	0	28	2196	0	1	0
2757	1	1	1	0	28	2196	0	1	0
2759	1	1	1	0	28	2196	0	1	0
2767	1	1	1	0	28	2196	0	1	0
2769	1	1	1	0	28	2196	0	1	0
2777	1	1	1	0	28	2196	0	1	0
2779	1	1	1	0	28	2196	0	1	0
2787	1	1	1	0	28	2196	0	1	0
2789	1	1	1	0	28	2196	0	1	0
2797	1	1	1	0	28	2196	0	1	0
2799	1	1	1	0	28	2196	0	1	0
2807	1	1	1	0	28	2196	0	1	0
2809	1	1	1	0	28	2196	0	1	0
2817	1	1	1	0	28	2196	0	1	0
2819	1	1	1	0	28	2196	0	1	0
2827	1	1	1	0	28	2196	0	1	0
2829	1	1	1	0	28	2196	0	1	0
2837	1	1	1	0	28	2196	0	1	0
2839	1	1	1	0	28	2196	0	1	0
2847	1	1	1	0	28	2196	0	1	0
2849	1	1	1	0	28	2196	0	1	0
2857	1	1	1	0	28	2196	0	1	0
2859	1	1	1	0	28	2196	0	1	0
2867	1	1	1	0	28	2196	0	1	0
2869	1	1	1	0	28	2196	0	1	0
2877	1	1	1	0	28	2196	0	1	0
2879	1	1	1	0	28	2196	0	1	0
2887	1	1	1	0	28	2196	0	1	0
2889	1	1	1	0	28	2196	0	1	0
2897	1	1	1	0	28	2196	0	1	0
2899	1	1	1	0	28	2196	0	1	0
2907	1	1	1	0	28	2196	0	1	0
2909	1	1	1	0	28	2196	0	1	0
2917	1	1	1	0	28	2196	0	1	0
2919	1	1	1	0	28	2196	0	1	0
2927	1	1	1	0	28	2196	0	1	0
2929	1	1	1	0	28	2196	0	1	0
2937	1	1	1	0	28	2196	0	1	0
2939	1	1	1	0	28	2196	0	1	0
2947	1	1	1	0	28	2196	0	1	0
2949	1	1	1	0	28	2196	0	1	0
2957	1	1	1	0	28	2196	0	1	0
2959	1	1	1	0	28	2196	0	1	0
2967	1	1	1	0	28	2196	0	1	0
2969	1	1	1	0	28	2196	0	1	0
2977	1	1	1	0	28	2196	0	1	0
2979	1	1	1	0	28	2196	0	1	0
2987	1	1	1	0	28	2196	0	1	0
2989	1	1	1	0	28	2196	0	1	0
2997	1	1	1	0	28	2196	0	1	0
2999	1	1	1	0	28	2196	0	1	0
3007	1	1	1	0	28	2196	0	1	0
3009	1	1	1	0	28	2196	0	1	0
3017	1	1	1	0	28	2196	0	1	0
3019	1	1	1	0	28	2196	0	1	0
3027	1	1	1	0	28	2196	0	1	0
3029	1	1	1	0	28	2196	0	1	0
3037	1	1	1	0	28	2196	0	1	0
3039	1	1	1	0	28	2196	0	1	0
3047	1	1	1	0	28	2196	0	1	0
3049	1	1	1	0	28	2196	0	1	0
3057	1	1	1	0	28	2196	0	1	0
3059	1	1	1	0	28	2196	0	1	0
3067	1	1	1	0	28	2196	0	1	0
3069	1	1	1	0	28	2196	0	1	0
3077	1	1	1	0	28	2196	0	1	0
3079	1	1	1	0	28	2196	0	1	0
3087	1	1	1	0	28	2196	0	1	0
3089	1	1	1	0	28	2196	0	1	0
3097	1	1	1	0	28	2196	0	1	0
3099	1	1	1	0	28	2196	0	1	0
3107	1	1	1	0	28	2196	0	1	0
3109	1	1	1	0	28	2196	0	1	0
3117	1	1	1	0	28	2196	0	1	0
3119	1	1	1	0	28	2196	0	1	0
3127	1	1	1	0	28	2196	0	1	0
3129	1	1	1	0	28	2196	0	1	0
3137	1	1	1	0	28	2196	0	1	0
3139	1	1	1	0	28	2196	0	1	0
3147	1	1	1	0	28	2196	0	1	0
3149	1	1	1	0	28	2196	0	1	0
3157	1	1	1	0	28	2196	0	1	0
3159	1	1	1	0	28	2196	0	1	0
3167	1	1	1	0	28	2196	0	1	0
3169	1	1	1	0	28	2196	0	1	0
3177	1	1	1	0	28	2196	0	1	0
3179	1	1	1	0	28	2196	0	1	0
3187	1	1	1	0	28	2196	0	1	0
3189	1	1	1	0	28	2196	0	1	0
3197	1	1	1	0	28	2196	0	1	0
3199	1	1	1	0	28	2196	0	1	0
3207	1	1	1	0	28	2196	0	1	0
3209	1	1	1	0	28	2196	0	1	0
3217	1	1	1	0	28	2196	0	1	0
